"PubSID","Code","Abbr","Name"
"0034254368","2720","MEDI","Hematology"
"0035094769","2720","MEDI","Hematology"
"0035094769","2730","MEDI","Oncology"
"0037105560","1303","BIOC","Biochemistry"
"0037105560","1307","BIOC","Cell Biology"
"0037105560","2403","IMMU","Immunology"
"0037105560","2700","MEDI","Medicine (all)"
"0037105560","2720","MEDI","Hematology"
"0035093711","2720","MEDI","Hematology"
"0035093711","2730","MEDI","Oncology"
"0037093092","1303","BIOC","Biochemistry"
"0037093092","1307","BIOC","Cell Biology"
"0037093092","2403","IMMU","Immunology"
"0037093092","2720","MEDI","Hematology"
"0037085785","1303","BIOC","Biochemistry"
"0037085785","1307","BIOC","Cell Biology"
"0037085785","2403","IMMU","Immunology"
"0037085785","2700","MEDI","Medicine (all)"
"0037085785","2720","MEDI","Hematology"
"0037045583","2700","MEDI","Medicine (all)"
"0033959520","2730","MEDI","Oncology"
"0018971622","1306","BIOC","Cancer Research"
"0018971622","2700","MEDI","Medicine (all)"
"0018971622","2730","MEDI","Oncology"
"0016756272","1000","MULT","Multidisciplinary"
"0033855660","1306","BIOC","Cancer Research"
"0033855660","2730","MEDI","Oncology"
"0345337254","1306","BIOC","Cancer Research"
"0345337254","2730","MEDI","Oncology"
"0031837813","2734","MEDI","Pathology and Forensic Medicine"
"0025348259","1311","BIOC","Genetics"
"0025348259","2403","IMMU","Immunology"
"0025348259","2723","MEDI","Immunology and Allergy"
"0028057250","2720","MEDI","Hematology"
"0021272605","2720","MEDI","Hematology"
"0033067232","1306","BIOC","Cancer Research"
"0033067232","2730","MEDI","Oncology"
"0030800131","1306","BIOC","Cancer Research"
"0030800131","2730","MEDI","Oncology"
"0030800131","3004","PHAR","Pharmacology"
"0344766075","1306","BIOC","Cancer Research"
"0344766075","2730","MEDI","Oncology"
"0035871441","1306","BIOC","Cancer Research"
"0035871441","2730","MEDI","Oncology"
"0035871445","1306","BIOC","Cancer Research"
"0035871445","2730","MEDI","Oncology"
"0034575137","1306","BIOC","Cancer Research"
"0024204319","2700","MEDI","Medicine (all)"
"0032719863","2730","MEDI","Oncology"
"0029949679","1306","BIOC","Cancer Research"
"0035819523","1306","BIOC","Cancer Research"
"0035819523","2730","MEDI","Oncology"
"0025318333","2403","IMMU","Immunology"
"0025318333","2747","MEDI","Transplantation"
"0023189896","2403","IMMU","Immunology"
"0023189896","2747","MEDI","Transplantation"
"18844467941","1303","BIOC","Biochemistry"
"18844467941","1307","BIOC","Cell Biology"
"18844467941","2403","IMMU","Immunology"
"18844467941","2720","MEDI","Hematology"
"0023940821","2720","MEDI","Hematology"
"0028987120","2720","MEDI","Hematology"
"0022614916","2720","MEDI","Hematology"
"0022495404","2403","IMMU","Immunology"
"0022495404","2747","MEDI","Transplantation"
"0027215061","2403","IMMU","Immunology"
"0027215061","2745","MEDI","Rheumatology"
"0027156307","2700","MEDI","Medicine (all)"
"0031022899","2720","MEDI","Hematology"
"0027479127","2700","MEDI","Medicine (all)"
"0027376013","2730","MEDI","Oncology"
"0021199345","2700","MEDI","Medicine (all)"
"0026793994","2700","MEDI","Medicine (all)"
"0034066127","2720","MEDI","Hematology"
"0026712850","2720","MEDI","Hematology"
"0032529703","2720","MEDI","Hematology"
"0027484445","2700","MEDI","Medicine (all)"
"0020031557","2700","MEDI","Medicine (all)"
"0021999401","1306","BIOC","Cancer Research"
"0021999401","2730","MEDI","Oncology"
"1842368507","2720","MEDI","Hematology"
"0028108050","2403","IMMU","Immunology"
"17144455839","1306","BIOC","Cancer Research"
"17144455839","2730","MEDI","Oncology"
"0033794001","2720","MEDI","Hematology"
"0032791210","2720","MEDI","Hematology"
"0032791210","2730","MEDI","Oncology"
"0033209751","2720","MEDI","Hematology"
"0032697615","1306","BIOC","Cancer Research"
"0032697615","2730","MEDI","Oncology"
"8944248819","1306","BIOC","Cancer Research"
"8944248819","2730","MEDI","Oncology"
"0027208577","2700","MEDI","Medicine (all)"
"0034662510","2720","MEDI","Hematology"
"0032761164","1306","BIOC","Cancer Research"
"0032761164","2730","MEDI","Oncology"
"0024341614","1306","BIOC","Cancer Research"
"0024341614","2700","MEDI","Medicine (all)"
"0024341614","2730","MEDI","Oncology"
"9244224115","1306","BIOC","Cancer Research"
"9244224115","2730","MEDI","Oncology"
"0031759837","1306","BIOC","Cancer Research"
"0031759837","2730","MEDI","Oncology"
"0031759838","1306","BIOC","Cancer Research"
"0031759838","2730","MEDI","Oncology"
"0026586054","2720","MEDI","Hematology"
"0032740188","2730","MEDI","Oncology"
"0033575397","1000","MULT","Multidisciplinary"
"0032188990","2720","MEDI","Hematology"
"0034045586","3004","PHAR","Pharmacology"
"0030590745","2700","MEDI","Medicine (all)"
"0028824356","2727","MEDI","Nephrology"
"0029829009","2746","MEDI","Surgery"
"0029829009","2747","MEDI","Transplantation"
"0029851095","2746","MEDI","Surgery"
