auth_sid,full_name,last_name,first_name,last_first_initial,doc_count_test,doc_count_total,auth_rrbr,auth_pir
7003358830,rondelli damiano,rondelli,damiano,rondelli d,1,111,0.00900900900900901,3
7003359627,pierri ivana,pierri,ivana,pierri i,1,55,0.0181818181818182,6
7003360391,trabetti elisabetta,trabetti,elisabetta,trabetti e,1,79,0.0126582278481013,1
7003360546,bartkowiak jacek k.,bartkowiak,jacek k,bartkowiak j,1,77,0.012987012987013,2
7003360867,cory michael j.,cory,michael j,cory m,2,7,0.285714285714286,3
7003362460,goedegebuure peter s.,goedegebuure,peter s,goedegebuure p,1,63,0.0158730158730159,11
7003363449,vilpo leena m.,vilpo,leena m,vilpo l,2,34,0.0588235294117647,2
7003363972,schröter sabine,schröter,sabine,schröter s,6,10,0.6,60
7003366096,rassam saad m b,rassam,saad m b,rassam s,2,13,0.153846153846154,5
7003366320,pye richard,pye,richard,pye r,1,23,0.0434782608695652,5
7003366946,griesinger frank,griesinger,frank,griesinger f,1,74,0.0135135135135135,2
7003367329,farace françoise,farace,françoise,farace f,1,57,0.0175438596491228,11
7003368299,folli silvio,folli,silvio,folli s,1,9,0.111111111111111,6
7003368455,kozbor danuta,kozbor,danuta,kozbor d,1,29,0.0344827586206897,2
7003368573,damle rajendra n.,damle,rajendra n,damle r,1,28,0.0357142857142857,6
7003369436,pegelow charles h.,pegelow,charles h,pegelow c,2,40,0.05,5
7003369891,jaszcz waclaw b.,jaszcz,waclaw b,jaszcz w,1,9,0.111111111111111,2
7003371998,palace jacqueline a.,palace,jacqueline a,palace j,1,143,0.00699300699300699,2
7003372414,gall walter einar,gall,walter einar,gall w,2,10,0.2,47
7003373405,mielcarek marco,mielcarek,marco,mielcarek m,1,63,0.0158730158730159,1
7003376955,doly janine,doly,janine,doly j,2,11,0.181818181818182,26
7003377753,rabella n.,rabella,n,rabella n,1,5,0.2,1
7003379589,billström rolf,billström,rolf,billström r,1,35,0.0285714285714286,1
7003380303,terrin michael l.,terrin,michael l,terrin m,1,72,0.0138888888888889,4
7003380701,melero ignacio,melero,ignacio,melero i,1,125,0.008,15
7003381124,dallorso sandro,dallorso,sandro,dallorso s,1,65,0.0153846153846154,7
7003381629,ruether joseph dean,ruether,joseph dean,ruether j,2,29,0.0689655172413793,5
7003382683,gorga joan c.,gorga,joan c,gorga j,2,12,0.166666666666667,26
7003382915,panelius martin,panelius,martin,panelius m,1,7,0.142857142857143,2
7003384698,hambley henry,hambley,henry,hambley h,1,22,0.0454545454545455,1
7003385705,panzer-grümayer eva renate,panzer-grümayer,eva renate,panzer-grümayer e,1,40,0.025,3
7003385925,routledge edward g.,routledge,edward g,routledge e,4,3,1.33333333333333,109
7003388766,egli andreas,egli,andreas,egli a,1,10,0.1,2
7003390303,wawrzynczak edward j.,wawrzynczak,edward j,wawrzynczak e,1,2,0.5,6
7003390896,chubb sherri,chubb,sherri,chubb s,2,3,0.666666666666667,2
7003391919,scarpati daniele,scarpati,daniele,scarpati d,1,5,0.2,10
7003391985,delorme evelyne o.,delorme,evelyne o,delorme e,1,12,0.0833333333333333,3
7003392417,hillery cheryl a.,hillery,cheryl a,hillery c,1,54,0.0185185185185185,4
7003394845,hu valerie w.,hu,valerie w,hu v,1,28,0.0357142857142857,42
7003395174,glidewell oliver j.,glidewell,oliver j,glidewell o,1,1,1,1
7003395736,elgart george w.,elgart,george w,elgart g,1,84,0.0119047619047619,2
7003395788,maserati emanuela,maserati,emanuela,maserati e,1,45,0.0222222222222222,3
7003397226,davodeau françois,davodeau,françois,davodeau f,1,44,0.0227272727272727,3
7003398658,kamphorst wouter,kamphorst,wouter,kamphorst w,1,73,0.0136986301369863,2
7003400107,milford ward anthony,milford ward,anthony,milford ward a,1,18,0.0555555555555556,7
7003400264,nevill thomas j.,nevill,thomas j,nevill t,1,66,0.0151515151515152,1
7003400439,tubiana-mathiel nicole,tubiana-mathiel,nicole,tubiana-mathiel n,1,69,0.0144927536231884,4
7003407139,laudanna carlo,laudanna,carlo,laudanna c,1,74,0.0135135135135135,43
7003407742,geissler dietmar,geissler,dietmar,geissler d,3,20,0.15,3
7003407853,yannelli john r.,yannelli,john r,yannelli j,1,31,0.032258064516129,2
7003410886,quigley laura a.,quigley,laura a,quigley l,1,29,0.0344827586206897,2
7003412636,alessandrino emilio paolo,alessandrino,emilio paolo,alessandrino e,4,99,0.0404040404040404,12
7003413400,colombatti marco,colombatti,marco,colombatti m,1,53,0.0188679245283019,2
7003413918,hochman paula s.,hochman,paula s,hochman p,2,27,0.0740740740740741,56
7003418713,de giorgi luisa,de giorgi,luisa,de giorgi l,1,2,0.5,248
7003419712,fürer emil,fürer,emil,fürer e,1,10,0.1,5
7003420350,zulian gilbert b.,zulian,gilbert b,zulian g,1,98,0.0102040816326531,1
7003421532,avalos belinda r.,avalos,belinda r,avalos b,2,52,0.0384615384615385,6
7003426556,frödin jan erik a,frödin,jan erik a,frödin j,2,51,0.0392156862745098,100
7003427045,heudier philippe,heudier,philippe,heudier p,1,21,0.0476190476190476,5
7003427345,jurcic joseph g.,jurcic,joseph g,jurcic j,1,61,0.0163934426229508,3
7003427983,bjorn michael j.,bjorn,michael j,bjorn m,1,1,1,2
7003428166,tutt alison l.,tutt,alison l,tutt a,1,32,0.03125,1
7003428306,groux hervé,groux,hervé,groux h,1,48,0.0208333333333333,14
7003428838,mcgonigle richard j s,mcgonigle,richard j s,mcgonigle r,1,12,0.0833333333333333,1
7003430630,josting andreas,josting,andreas,josting a,1,95,0.0105263157894737,2
7003431203,nagafuji koji,nagafuji,koji,nagafuji k,2,132,0.0151515151515152,10
7003431476,la nasa g.,la nasa,g,la nasa g,4,95,0.0421052631578947,11
7003432631,sorof jonathan m.,sorof,jonathan m,sorof j,1,47,0.0212765957446809,4
7003432638,rajamäki allan a.,rajamäki,allan a,rajamäki a,1,38,0.0263157894736842,21
7003433370,furley andrew j w,furley,andrew j w,furley a,2,24,0.0833333333333333,7
7003434745,hata daisuke,hata,daisuke,hata d,1,7,0.142857142857143,10
7003434972,michalska margaret,michalska,margaret,michalska m,1,5,0.2,16
7003435914,swan forrest,swan,forrest,swan f,2,6,0.333333333333333,2
7003436910,goeken james adam,goeken,james adam,goeken j,1,18,0.0555555555555556,6
7003437528,gidáli julia,gidáli,julia,gidáli j,3,15,0.2,248
7003441484,guido david m.,guido,david m,guido d,1,1,1,5
7003441855,kniep bernhard,kniep,bernhard,kniep b,1,21,0.0476190476190476,57
7003442437,platt orah s.,platt,orah s,platt o,3,32,0.09375,12
7003442469,lilius esa matti eino,lilius,esa matti eino,lilius e,1,63,0.0158730158730159,21
7003442501,dull thomas j.,dull,thomas j,dull t,1,7,0.142857142857143,6
7003443639,verstovšek srdan,verstovšek,srdan,verstovšek s,1,447,0.00223713646532438,2
7003443709,mazié jean claude,mazié,jean claude,mazié j,1,23,0.0434782608695652,20
7003444520,haylock david n.,haylock,david n,haylock d,2,69,0.0289855072463768,3
7003444802,shoulders carol c.,shoulders,carol c,shoulders c,1,36,0.0277777777777778,6
7003445502,lefkowitch jay h.,lefkowitch,jay h,lefkowitch j,1,94,0.0106382978723404,4
7003446326,leandri massimo,leandri,massimo,leandri m,1,54,0.0185185185185185,2
7003446374,vogler ralph,vogler,ralph,vogler r,1,1,1,14
7003448005,menge alan c.,menge,alan c,menge a,1,12,0.0833333333333333,31
7003448170,štefanová irena,štefanová,irena,štefanová i,2,11,0.181818181818182,50
7003449885,geuna massimo,geuna,massimo,geuna m,3,58,0.0517241379310345,6
7003453300,edworthy steven m.,edworthy,steven m,edworthy s,1,42,0.0238095238095238,87
7003455115,bitsch andreas,bitsch,andreas,bitsch a,2,54,0.037037037037037,13
7003455388,bolle jean françois,bolle,jean françois,bolle j,1,13,0.0769230769230769,1
7003455576,joysey valerie c.,joysey,valerie c,joysey v,1,3,0.333333333333333,519
7003455736,gerritsen egbert j a,gerritsen,egbert j a,gerritsen e,6,13,0.461538461538462,101
7003457768,pels elisabeth l.,pels,elisabeth l,pels e,1,32,0.03125,6
7003459398,blakeney anthony b.,blakeney,anthony b,blakeney a,1,19,0.0526315789473684,3
7003461609,priore roger l.,priore,roger l,priore r,3,33,0.0909090909090909,6
7003463019,mittermüller johann,mittermüller,johann,mittermüller j,2,18,0.111111111111111,81
7003463437,timmerman john m.,timmerman,john m,timmerman j,1,55,0.0181818181818182,0
7003465943,lipman david j.,lipman,david j,lipman d,1,74,0.0135135135135135,57
7003467079,vujanović nikola l.,vujanović,nikola l,vujanović n,1,36,0.0277777777777778,4
7003467817,muus petra k.,muus,petra k,muus p,1,82,0.0121951219512195,4
7003469403,lenormand bernard,lenormand,bernard,lenormand b,2,48,0.0416666666666667,15
7003471313,dietz suzanne m.,dietz,suzanne m,dietz s,1,3,0.333333333333333,1
7003471582,demarest james f.,demarest,james f,demarest j,1,23,0.0434782608695652,2
7003471705,rosenfield nancy s.,rosenfield,nancy s,rosenfield n,1,8,0.125,19
7003472147,mavroudis dimitris a.,mavroudis,dimitris a,mavroudis d,2,252,0.00793650793650794,4
7003472701,jaïs jean philippe,jaïs,jean philippe,jaïs j,2,131,0.0152671755725191,19
7003473800,bourbigot bernard j.,bourbigot,bernard j,bourbigot b,1,21,0.0476190476190476,1
7003474145,hospenthal duane r.,hospenthal,duane r,hospenthal d,1,185,0.00540540540540541,1
7003476439,svenningsson anders,svenningsson,anders,svenningsson a,1,57,0.0175438596491228,2
7003476610,grimwood jane,grimwood,jane,grimwood j,1,108,0.00925925925925926,1
7003477418,kummer udo,kummer,udo,kummer u,1,2,0.5,20
7003479838,plotnick leslie p.,plotnick,leslie p,plotnick l,1,33,0.0303030303030303,4
7003483050,caronia francesco,caronia,francesco,caronia f,2,1,2,16
7003484369,meignin véronique,meignin,véronique,meignin v,1,91,0.010989010989011,6
7003485208,imreh stefan,imreh,stefan,imreh s,2,55,0.0363636363636364,12
7003486502,thotakura nageswara rao,thotakura,nageswara rao,thotakura n,1,5,0.2,3
7003489725,felman pascale,felman,pascale,felman p,2,84,0.0238095238095238,3
7003491350,akaza tatsuya,akaza,tatsuya,akaza t,1,54,0.0185185185185185,4
7003492468,rayens mary kay ay,rayens,mary kay ay,rayens m,1,167,0.00598802395209581,3
7003494067,bilbao guadalupe,bilbao,guadalupe,bilbao g,1,46,0.0217391304347826,1
7003494377,ruffault annick,ruffault,annick,ruffault a,1,51,0.0196078431372549,2
7003494696,brochu sylvie,brochu,sylvie,brochu s,2,14,0.142857142857143,15
